Name,Years,Position,Party,State,Congress,Link
"WILLIAMS, Jeremiah Norman",1829-1915,Representative,Democrat,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000512
"WILLIAMS, William Brewster",1826-1905,Representative,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000547
"WILLIS, Benjamin Albertson",1840-1886,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000558
"WILSHIRE, William Wallace",1830-1888,Representative,Democrat,AR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000567
"WILSON, Benjamin",1825-1901,Representative,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000569
"WILSON, James",1835-1920,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000590
"WINDOM, William",1827-1891,Senator,Republican,MN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000629
"WITHERS, Robert Enoch",1821-1907,Senator,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000659
"WOOD, Alan, Jr.",1834-1902,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000688
"WOOD, Fernando",1812-1881,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000694
"WOODBURN, William",1838-1915,Representative,Republican,NV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000710
"WOODWORTH, Laurin Dewey",1837-1897,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000735
"WRIGHT, George Grover",1820-1896,Senator,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000759
"YEATES, Jesse Johnson",1829-1892,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000016
"YOUNG, Hiram Casey",1828-1899,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000037
