Name,Years,Position,Party,State,Congress,Link
"CHITTENDEN, Simeon Baldwin",1814-1889,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000373
"CHRISTIANCY, Isaac Peckham",1812-1890,Senator,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000379
"CLARK, John Bullock, Jr.",1831-1903,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000442
"CLARKE, John Blades",1833-1911,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000464
"CLAYTON, Powell",1833-1914,Senator,Republican,AR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000498
"CLYMER, Hiester",1827-1884,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000539
"COCHRAN, Alexander Gilmore",1846-1928,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000561
"COCKRELL, Francis Marion",1834-1915,Senator,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000576
"COLLINS, Francis Dolan",1841-1891,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000636
"CONGER, Omar Dwight",1818-1898,Representative,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000678
"CONKLING, Roscoe",1829-1888,Senator,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000681
"CONOVER, Simon Barclay",1840-1908,Senator,Republican,FL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000701
"COOK, Philip",1817-1894,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000724
"COOPER, Henry",1827-1884,Senator,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000751
"COWAN, Jacob Pitzer",1823-1895,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000820
"COX, Samuel Sullivan",1824-1889,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000839
